,Irradiancia,Temperatura,Potencia,label
0,672.12,39.91,0.2650794,0
1,669.64,39.46,0.2642803,0
2,672.04,39.25,0.2652627,0
3,674.55,39.09,0.2662707,0
4,675.59,39.23,0.266621,0
5,675.31,39.07,0.2665666,0
6,675.68,38.83,0.2667852,0
7,679.86,39.07,0.2682987,0
8,682.15,39.43,0.2690525,0
9,683.83,39.82,0.2695638,0
10,682.37,40,0.2689499,0
11,683.73,40.08,0.2694407,0
12,682.5,40.19,0.2689371,0
13,682.91,40.03,0.2691453,0
14,685.09,39.99,0.269987,0
15,681.47,40.07,0.2685844,0
16,680.19,40.27,0.268033,0
17,681.99,40.26,0.26872,0
18,678.91,39.83,0.2676891,0
19,673.89,39.32,0.2659446,0
20,679.65,39.11,0.268206,0
21,680.8,39.43,0.268539,0
22,677.91,39.83,0.267309,0
23,677.09,39.85,0.26699,0
24,681.08,40.09,0.2684301,0
25,680.14,40.42,0.2679652,0
26,680.57,40.84,0.2679923,0
27,682.79,41.45,0.2686374,0
28,683.43,41.78,0.2687738,0
29,684.79,41.84,0.2692704,0
30,687.11,41.72,0.2701887,0
31,688.37,41.65,0.2706897,0
32,687.45,41.41,0.2704192,0
33,685.47,40.9,0.2698336,0
34,687.21,40.52,0.2706188,0
35,688.82,40.25,0.2713189,0
36,687.74,39.9,0.2710235,0
37,692.69,39.97,0.2728806,0
38,690.25,40.06,0.2719244,0
39,688.53,40.1,0.2712574,0
40,687.59,40.16,0.2708812,0
41,690.05,40.47,0.2717136,0
42,690.95,40.81,0.2719434,0
43,687.57,40.77,0.2706732,0
44,684.66,40.51,0.2696536,0
45,685.05,40.67,0.2697491,0
46,678.75,40.81,0.2673106,0
47,680.12,40.7,0.2678669,0
48,676.4,40.56,0.2664982,0
49,680.33,40.23,0.2680994,0
50,678.07,40.28,0.2672234,0
51,681.27,40.33,0.2684236,0
52,687.98,40.35,0.270967,0
53,687.02,40.64,0.270507,0
54,681.24,40.69,0.2682954,0
55,688.98,40.7,0.2712316,0
56,693.64,40.84,0.2729543,0
57,690.94,41,0.2718774,0
58,691.27,40.99,0.2720056,0
59,691.19,40.74,0.2720577,0
60,695.6,40.49,0.2738127,0
61,697.25,40.39,0.2744723,0
62,697.11,40.24,0.2744685,0
63,698.4,40.32,0.2749313,0
64,699.15,40.57,0.2751332,0
65,700.1,40.71,0.2754465,0
66,696.11,40.78,0.2739102,0
67,696.95,40.91,0.2741865,0
68,698.94,41.23,0.2748352,0
69,699.05,41.55,0.2747707,0
70,699.73,41.64,0.2749983,0
71,701.6,42.06,0.2755678,0
72,699.67,42.33,0.274749,0
73,696.55,42.26,0.2735908,0
74,696.64,42.11,0.273674,0
75,696.06,42.07,0.2734673,0
76,698.09,42.09,0.2742294,0
