Irradiancia,Temperatura,Potencia
672.12,39.91,0.2650794
669.64,39.46,0.2642803
672.04,39.25,0.2652627
674.55,39.09,0.2662707
675.59,39.23,0.2666210
675.31,39.07,0.2665666
675.68,38.83,0.2667852
679.86,39.07,0.2682987
682.15,39.43,0.2690525
683.83,39.82,0.2695638
682.37,40,0.2689499
683.73,40.08,0.2694407
682.5,40.19,0.2689371
682.91,40.03,0.2691453
685.09,39.99,0.2699870
681.47,40.07,0.2685844
680.19,40.27,0.2680330
681.99,40.26,0.2687200
678.91,39.83,0.2676891
673.89,39.32,0.2659446
679.65,39.11,0.2682060
680.8,39.43,0.2685390
677.91,39.83,0.2673090
677.09,39.85,0.2669900
681.08,40.09,0.2684301
680.14,40.42,0.2679652
680.57,40.84,0.2679923
682.79,41.45,0.2686374
683.43,41.78,0.2687738
684.79,41.84,0.2692704
687.11,41.72,0.2701887
688.37,41.65,0.2706897
687.45,41.41,0.2704192
685.47,40.9,0.2698336
687.21,40.52,0.2706188
688.82,40.25,0.2713189
687.74,39.9,0.2710235
692.69,39.97,0.2728806
690.25,40.06,0.2719244
688.53,40.1,0.2712574
687.59,40.16,0.2708812
690.05,40.47,0.2717136
690.95,40.81,0.2719434
687.57,40.77,0.2706732
684.66,40.51,0.2696536
685.05,40.67,0.2697491
678.75,40.81,0.2673106
680.12,40.7,0.2678669
676.4,40.56,0.2664982
680.33,40.23,0.2680994
678.07,40.28,0.2672234
681.27,40.33,0.2684236
687.98,40.35,0.2709670
687.02,40.64,0.2705070
681.24,40.69,0.2682954
688.98,40.7,0.2712316
693.64,40.84,0.2729543
690.94,41,0.2718774
691.27,40.99,0.2720056
691.19,40.74,0.2720577
695.6,40.49,0.2738127
697.25,40.39,0.2744723
697.11,40.24,0.2744685
698.4,40.32,0.2749313
699.15,40.57,0.2751332
700.1,40.71,0.2754465
696.11,40.78,0.2739102
696.95,40.91,0.2741865
698.94,41.23,0.2748352
699.05,41.55,0.2747707
699.73,41.64,0.2749983
701.6,42.06,0.2755678
699.67,42.33,0.2747490
696.55,42.26,0.2735908
696.64,42.11,0.2736740
696.06,42.07,0.2734673
698.09,42.09,0.2742294
695.53,41.97,0.2732990
691.28,41.34,0.2718946
691.54,40.85,0.2721540
689.41,40.27,0.2715364
697.42,40.1,0.2746330
702.52,40.59,0.2764041
702.45,41.27,0.2761515
702.86,41.73,0.2761545
705.2,42.16,0.2768977
705.43,42.23,0.2769614
702.41,42.19,0.2758321
696.99,41.26,0.2740862
703.98,40.79,0.2768907
702.28,40.68,0.2762828
702.24,40.36,0.2763743
706.95,40.39,0.2781495
706.39,40.64,0.2778533
709.18,40.69,0.2788935
711.05,40.94,0.2795172
711.95,41.17,0.2797814
714.63,41.44,0.2807045
715.67,41.93,0.2809331
712.09,41.71,0.2796528
714.92,41.55,0.2807765
715.29,41.67,0.2808768
709.64,41.68,0.2787369
716.18,41.8,0.2811690
714.35,41.41,0.2806081
715.15,41,0.2810485
718.34,41.07,0.2822319
719.5,41.48,0.2825319
722.61,41.77,0.2836083
720.14,41.65,0.2827164
722.76,41.37,0.2838005
724.28,41.22,0.2844256
728.19,41.52,0.2858005
725.39,42.08,0.2845528
725.4,42.55,0.2843982
721.76,42.05,0.2831928
720.8,41.4,0.2830498
723.52,41.23,0.2841352
725.83,41.16,0.2850311
727,40.91,0.2855591
729.38,41.12,0.2863858
733.75,41.5,0.2879045
733.92,41.53,0.2879590
734.84,41.55,0.2882994
734.51,41.75,0.2881060
731.79,41.62,0.2871249
733.43,41.38,0.2878258
734.26,41.34,0.2881526
733.53,41.41,0.2878532
733.41,41.48,0.2877840
743.13,41.96,0.2912824
741.78,42.23,0.2906808
741.17,42.3,0.2904274
744.36,42.61,0.2915214
744.72,42.84,0.2915779
745.6,42.9,0.2918883
742.8,43.05,0.2907825
737.47,43.08,0.2887663
742.62,42.88,0.2907739
747.29,42.7,0.2925929
744.81,42.56,0.2917081
743.14,42.03,0.2912619
745.53,41.38,0.2923875
750.44,41.48,0.2942008
753.09,41.98,0.2950244
753.71,42.25,0.2951635
756.29,42.39,0.2960839
755.75,42.76,0.2957528
757.69,43,0.2963975
757.33,43.07,0.2962381
756.27,43.31,0.2957568
750.64,43.05,0.2937314
747.81,42.53,0.2928471
748.6,42.31,0.2932202
746.09,41.82,0.2924458
749.9,41.53,0.2939809
751.1,41.87,0.2943136
752.09,41.86,0.2946901
753.57,41.9,0.2952328
753.05,41.98,0.2950094
756.77,41.96,0.2964154
757.98,41.84,0.2969120
761.85,41.86,0.2983599
763.93,42.11,0.2990534
763.52,42.35,0.2988143
765.23,42.6,0.2993689
764.51,42.6,0.2990987
765.1,42.6,0.2993199
766.89,42.67,0.2999674
767.26,42.77,0.3000701
767.97,42.69,0.3003652
766.82,42.77,0.2999059
765.06,42.58,0.2993117
771.14,42.71,0.3015475
773.63,43.2,0.3023068
773.72,43.79,0.3021331
772.23,44.25,0.3014126
771.71,44.78,0.3010327
771.38,44.67,0.3009471
770.07,43.98,0.3006985
